model,rung,game,llm_is_white,score_llm
lichess,32,0,1,0.0
lichess,32,0,0,0.5
lichess,32,1,1,0.5
lichess,32,1,0,0.0
lichess,32,2,1,0.5
lichess,32,2,0,0.5
lichess,32,3,1,0.5
lichess,32,3,0,0.5
lichess,32,4,1,0.5
lichess,32,4,0,0.0
lichess,32,5,1,0.0
lichess,32,5,0,0.0
lichess,32,6,1,0.0
lichess,32,6,0,0.0
lichess,32,7,1,0.0
lichess,32,7,0,0.5
lichess,32,8,1,0.0
lichess,32,8,0,0.5
lichess,32,9,1,0.5
lichess,32,9,0,0.5
lichess,256,0,1,0.0
lichess,256,0,0,0.0
lichess,256,1,1,0.0
lichess,256,1,0,0.0
lichess,256,2,1,0.0
lichess,256,2,0,0.5
lichess,256,3,1,0.0
lichess,256,3,0,0.5
lichess,256,4,1,0.0
lichess,256,4,0,0.0
lichess,256,5,1,0.0
lichess,256,5,0,0.0
lichess,256,6,1,0.0
lichess,256,6,0,0.0
lichess,256,7,1,0.5
lichess,256,7,0,0.0
lichess,256,8,1,0.0
lichess,256,8,0,0.0
lichess,256,9,1,0.0
lichess,256,9,0,0.0
stockfish,32,0,1,0.5
stockfish,32,0,0,0.5
stockfish,32,1,1,0.0
stockfish,32,1,0,0.0
stockfish,32,2,1,0.5
stockfish,32,2,0,0.5
stockfish,32,3,1,0.5
stockfish,32,3,0,0.5
stockfish,32,4,1,0.5
stockfish,32,4,0,0.5
stockfish,32,5,1,0.0
stockfish,32,5,0,0.5
stockfish,32,6,1,0.0
stockfish,32,6,0,0.5
stockfish,32,7,1,0.5
stockfish,32,7,0,0.5
stockfish,32,8,1,0.0
stockfish,32,8,0,0.5
stockfish,32,9,1,0.5
stockfish,32,9,0,0.0
stockfish,256,0,1,0.0
stockfish,256,0,0,0.0
stockfish,256,1,1,0.5
stockfish,256,1,0,0.5
stockfish,256,2,1,0.0
stockfish,256,2,0,0.5
stockfish,256,3,1,0.5
stockfish,256,3,0,0.5
stockfish,256,4,1,0.5
stockfish,256,4,0,0.5
stockfish,256,5,1,0.5
stockfish,256,5,0,0.5
stockfish,256,6,1,0.0
stockfish,256,6,0,0.5
stockfish,256,7,1,0.5
stockfish,256,7,0,0.0
stockfish,256,8,1,0.5
stockfish,256,8,0,0.0
stockfish,256,9,1,0.5
stockfish,256,9,0,0.5
